dataset,dataset_spec,arm,random_page_cost,ext_stats,qid,family,sql,target_selectivity,true_rows,n_rows,params,achieved_selectivity,exec_ms_median,exec_ms_min,exec_ms_max,exec_ms_mean,exec_ms_stdev,runs,access_path,indexes_used,node_types,est_rows,actual_rows,total_cost,shared_hit,shared_read,planning_time_ms,scale,zipf_s,dep_strength,physical_corr,selectivity,variant,best_arm,best_ms,best_access_path,best_indexes,regret,q_error,direction,ms_lost,reliable,misselected
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v2386,eq,SELECT * FROM t_baseline WHERE k_skew = 2386,,98,1000000,{'k_skew': 2386},9.8e-05,0.028999999999999998,0.026,0.087,0.03816666666666666,0.024103250126625383,"[0.087, 0.032, 0.026, 0.026, 0.032, 0.026]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,98.0,102.75,100,0,0.054,rpc,0.0,0.0,0.0,9.8e-05,,hash_skew,0.022,indexscan,ix_baseline,1.3181818181818181,1.0204081632653061,accurate,0.006999999999999999,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v3442,eq,SELECT * FROM t_baseline WHERE k_skew = 3442,,150,1000000,{'k_skew': 3442},0.00015,0.043,0.034,0.082,0.052333333333333336,0.020723577554724152,"[0.082, 0.041, 0.045, 0.037, 0.075, 0.034]",indexscan,ix_baseline_hash_skew,['Index Scan'],333.0,150.0,337.83,151,0,0.036,rpc,0.0,0.0,0.0,0.00015,,btree_skew,0.0265,indexscan,ix_baseline,1.6226415094339621,2.22,over,0.016499999999999997,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v4366,eq,SELECT * FROM t_baseline WHERE k_skew = 4366,,102,1000000,{'k_skew': 4366},0.000102,0.0295,0.026,0.05,0.03383333333333333,0.01000832986400162,"[0.05, 0.032, 0.027, 0.026, 0.026, 0.042]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,102.0,102.75,103,0,0.026,rpc,0.0,0.0,0.0,0.000102,,btree_skew,0.019,indexscan,ix_baseline,1.5526315789473684,1.02,accurate,0.010499999999999999,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v4872,eq,SELECT * FROM t_baseline WHERE k_skew = 4872,,89,1000000,{'k_skew': 4872},8.9e-05,0.019,0.019,0.033,0.021500000000000002,0.0056480084985771764,"[0.033, 0.02, 0.019, 0.019, 0.019, 0.019]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,89.0,102.75,91,0,0.023,rpc,0.0,0.0,0.0,8.9e-05,,hash_skew,0.0205,indexscan,ix_baseline,0.9268292682926829,1.1235955056179776,over,-0.0015000000000000013,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v7103,eq,SELECT * FROM t_baseline WHERE k_skew = 7103,,105,1000000,{'k_skew': 7103},0.000105,0.022,0.022,0.033,0.02383333333333333,0.0044907311951024945,"[0.033, 0.022, 0.022, 0.022, 0.022, 0.022]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,105.0,102.75,107,0,0.021,rpc,0.0,0.0,0.0,0.000105,,hash_skew,0.024,indexscan,ix_baseline,0.9166666666666666,1.05,accurate,-0.0020000000000000018,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v7817,eq,SELECT * FROM t_baseline WHERE k_skew = 7817,,111,1000000,{'k_skew': 7817},0.000111,0.0245,0.024,0.038,0.02666666666666667,0.005573747990954261,"[0.038, 0.025, 0.025, 0.024, 0.024, 0.024]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,111.0,102.75,112,0,0.021,rpc,0.0,0.0,0.0,0.000111,,btree_skew,0.025,indexscan,ix_baseline,0.98,1.11,under,-0.0005000000000000004,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v9310,eq,SELECT * FROM t_baseline WHERE k_skew = 9310,,66,1000000,{'k_skew': 9310},6.6e-05,0.0155,0.015,0.024,0.017166666666666667,0.003544949458972112,"[0.024, 0.018, 0.016, 0.015, 0.015, 0.015]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,66.0,102.75,68,0,0.019,rpc,0.0,0.0,0.0,6.6e-05,,btree_skew,0.014,indexscan,ix_baseline,1.1071428571428572,1.5151515151515151,over,0.0014999999999999996,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,eq_v9461,eq,SELECT * FROM t_baseline WHERE k_skew = 9461,,94,1000000,{'k_skew': 9461},9.4e-05,0.0215,0.02,0.055,0.027333333333333334,0.013662601021279464,"[0.055, 0.025, 0.022, 0.021, 0.021, 0.02]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,94.0,102.75,96,0,0.028,rpc,0.0,0.0,0.0,9.4e-05,,btree_skew,0.0195,indexscan,ix_baseline,1.1025641025641024,1.0638297872340425,over,0.0019999999999999983,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_1e-05,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 5000 AND 5000,1e-05,111,1000000,"{'lo': 5000, 'hi': 5000}",0.000111,0.0215,0.021,0.041,0.024999999999999998,0.00792464510246358,"[0.041, 0.024, 0.022, 0.021, 0.021, 0.021]",indexscan,ix_baseline_btree_skew,['Index Scan'],100.0,111.0,103.42,114,0,0.026,rpc,0.0,0.0,0.0,0.000111,,btree_skew,0.024,indexscan,ix_baseline,0.8958333333333333,1.11,under,-0.0025000000000000022,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_1e-05,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1656545092 AND 1656547083,1e-05,10,1000000,"{'lo': 1656545092, 'hi': 1656547083}",1e-05,0.009000000000000001,0.007,0.016,0.010166666666666666,0.00365604522218567,"[0.016, 0.01, 0.008, 0.007, 0.007, 0.013]",indexscan,ix_baseline_btree_ts,['Index Scan'],12.0,10.0,13.66,13,0,0.039,rpc,0.0,0.0,0.0,1e-05,,btree_ts,0.006500000000000001,indexscan,ix_baseline,1.3846153846153846,1.2,over,0.0025000000000000005,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.0001,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4999 AND 5000,0.0001,213,1000000,"{'lo': 4999, 'hi': 5000}",0.000213,0.089,0.06,0.149,0.09633333333333333,0.034191616906292494,"[0.149, 0.124, 0.092, 0.086, 0.067, 0.06]",indexscan,ix_baseline_btree_skew,['Index Scan'],206.0,213.0,210.54,215,0,0.068,rpc,0.0,0.0,0.0,0.000213,,btree_skew,0.044,indexscan,ix_baseline,2.022727272727273,1.0339805825242718,accurate,0.045,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.0001,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1656537503 AND 1656552516,0.0001,100,1000000,"{'lo': 1656537503, 'hi': 1656552516}",0.0001,0.04,0.022,0.064,0.042,0.01888915032498815,"[0.064, 0.064, 0.042, 0.038, 0.022, 0.022]",indexscan,ix_baseline_btree_ts,['Index Scan'],85.0,100.0,88.12,104,0,0.033,rpc,0.0,0.0,0.0,0.0001,,btree_ts,0.0345,indexscan,ix_baseline,1.1594202898550723,1.1764705882352942,under,0.005499999999999998,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.001,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4995 AND 5005,0.001,1154,1000000,"{'lo': 4995, 'hi': 5005}",0.001154,0.1905,0.189,0.401,0.2255,0.08599011571105136,"[0.401, 0.193, 0.191, 0.189, 0.189, 0.19]",indexscan,ix_baseline_btree_skew,['Index Scan'],1160.0,1154.0,1140.62,1152,0,0.029,rpc,0.0,0.0,0.0,0.001154,,btree_skew,0.193,indexscan,ix_baseline,0.9870466321243523,1.0051993067590987,accurate,-0.0025000000000000022,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.001,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1656463820 AND 1656623609,0.001,1000,1000000,"{'lo': 1656463820, 'hi': 1656623609}",0.001,0.183,0.179,0.337,0.20833333333333334,0.06315272493461124,"[0.337, 0.185, 0.189, 0.181, 0.179, 0.179]",indexscan,ix_baseline_btree_ts,['Index Scan'],896.0,1000.0,890.32,1006,0,0.032,rpc,0.0,0.0,0.0,0.001,,btree_ts,0.198,indexscan,ix_baseline,0.9242424242424242,1.1160714285714286,under,-0.015000000000000013,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.01,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4951 AND 5049,0.01,10093,1000000,"{'lo': 4951, 'hi': 5049}",0.010093,2.6615,2.163,3.682,2.7724999999999995,0.5444868226137342,"[3.682, 2.527, 2.163, 2.796, 3.065, 2.402]",indexscan,ix_baseline_btree_skew,['Index Scan'],10147.0,10093.0,7703.33,10074,0,0.111,rpc,0.0,0.0,0.0,0.010093,,btree_skew,2.3685,indexscan,ix_baseline,1.1237069875448598,1.0053502427424947,accurate,0.29300000000000015,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.01,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1655753994 AND 1657336369,0.01,10000,1000000,"{'lo': 1655753994, 'hi': 1657336369}",0.01,2.83,2.255,3.774,2.9629999999999996,0.6284982100213174,"[2.997, 3.641, 2.663, 2.448, 2.255, 3.774]",indexscan,ix_baseline_btree_ts,['Index Scan'],8861.0,10000.0,6968.49,10030,0,0.036,rpc,0.0,0.0,0.0,0.01,,btree_ts,2.4050000000000002,indexscan,ix_baseline,1.1767151767151767,1.1285407967498025,under,0.4249999999999998,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.05,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4753 AND 5250,0.05,50117,1000000,"{'lo': 4753, 'hi': 5250}",0.050117,14.876999999999999,14.62,16.817,15.247833333333332,0.8283461635491934,"[14.841, 14.776, 14.62, 15.52, 16.817, 14.913]",indexscan,ix_baseline_btree_skew,['Index Scan'],47924.0,50117.0,15304.83,49991,0,0.065,rpc,0.0,0.0,0.0,0.050117,,btree_skew,13.943000000000001,indexscan,ix_baseline,1.0669870185756292,1.0457599532593274,accurate,0.9339999999999975,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.05,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1652605147 AND 1660489156,0.05,50000,1000000,"{'lo': 1652605147, 'hi': 1660489156}",0.05,15.9715,15.382,18.495,16.233,1.1440816404435485,"[15.913, 18.495, 15.501, 16.077, 15.382, 16.03]",indexscan,ix_baseline_btree_ts,['Index Scan'],47087.0,50000.0,15375.84,50138,0,0.065,rpc,0.0,0.0,0.0,0.05,,btree_ts,14.568,indexscan,ix_baseline,1.0963412959912138,1.0618642088049781,under,1.403500000000001,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.1,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4503 AND 5498,0.1,100104,1000000,"{'lo': 4503, 'hi': 5498}",0.100104,31.588,29.777,32.101,31.365,0.8697822716059455,"[32.047, 31.089, 29.777, 32.101, 31.786, 31.39]",indexscan,ix_baseline_btree_skew,['Index Scan'],99186.0,100104.0,16375.08,99849,0,0.063,rpc,0.0,0.0,0.0,0.100104,,btree_skew,29.2145,indexscan,ix_baseline,1.0812439028564582,1.0092553384550238,accurate,2.3735,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.1,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1648692376 AND 1664451805,0.1,100000,1000000,"{'lo': 1648692376, 'hi': 1664451805}",0.1,31.906,30.113,51.771,35.00383333333333,8.27966181475226,"[30.113, 31.234, 32.476, 51.771, 31.336, 33.093]",indexscan,ix_baseline_btree_ts,['Index Scan'],95613.0,100000.0,16479.38,100268,0,0.063,rpc,0.0,0.0,0.0,0.1,,btree_ts,29.1685,indexscan,ix_baseline,1.0938512436361143,1.0458828820348698,accurate,2.737499999999997,True,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.2,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4004 AND 5996,0.2,200174,1000000,"{'lo': 4004, 'hi': 5996}",0.200174,60.6495,59.956,66.127,61.461333333333336,2.3350377013373156,"[60.522, 59.956, 60.103, 61.283, 60.777, 66.127]",indexscan,ix_baseline_btree_skew,['Index Scan'],201288.0,200174.0,18506.13,199633,0,0.094,rpc,0.0,0.0,0.0,0.200174,,none,46.663,seqscan,,1.2997342648350942,1.0055651583122682,accurate,13.986500000000007,True,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.2,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1640806329 AND 1672345134,0.2,200000,1000000,"{'lo': 1640806329, 'hi': 1672345134}",0.2,65.482,64.278,83.262,68.35933333333334,7.35693622825879,"[65.607, 64.278, 64.719, 66.933, 65.357, 83.262]",indexscan,ix_baseline_btree_ts,['Index Scan'],194232.0,200000.0,18721.79,200536,0,0.064,rpc,0.0,0.0,0.0,0.2,,none,52.2765,seqscan,,1.2526087247616042,1.02969644548787,accurate,13.2055,True,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,range_0.5,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 2502 AND 7499,0.5,500076,1000000,"{'lo': 2502, 'hi': 7499}",0.500076,154.7115,148.286,161.254,155.056,5.425310129384307,"[154.769, 148.286, 150.124, 161.254, 154.654, 161.249]",indexscan,ix_baseline_btree_skew,['Index Scan'],498519.0,500076.0,24709.77,498806,0,0.064,rpc,0.0,0.0,0.0,0.500076,,none,49.8855,seqscan,,3.1013320503954054,1.0031232510696684,accurate,104.826,True,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,tsrange_0.5,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1617152976 AND 1696000333,0.5,500000,1000000,"{'lo': 1617152976, 'hi': 1696000333}",0.5,153.3025,142.732,182.07,155.861,13.674885944679755,"[155.772, 152.741, 182.07, 142.732, 147.987, 153.864]",indexscan,ix_baseline_btree_ts,['Index Scan'],498848.0,500000.0,25650.21,501349,0,0.061,rpc,0.0,0.0,0.0,0.5,,none,56.0865,seqscan,,2.73332263557184,1.0023093206748348,accurate,97.21600000000001,True,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_dep_a5,conj,SELECT * FROM t_baseline WHERE a = 5 AND b = 72,,102,1000000,"{'a': 5, 'b': 72, 'variant': 'dependent'}",0.000102,0.044,0.028,0.075,0.04633333333333333,0.017037214169771612,"[0.075, 0.045, 0.055, 0.043, 0.032, 0.028]",indexscan,ix_baseline_ab,['Index Scan'],90.0,102.0,93.22,105,0,0.072,rpc,0.0,0.0,0.0,0.000102,dependent,btree_ab_composite,0.020999999999999998,indexscan,ix_baseline,2.0952380952380953,1.1333333333333333,under,0.023,False,True
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_indep_a5,conj,SELECT * FROM t_baseline WHERE a = 5 AND b = 22,,115,1000000,"{'a': 5, 'b': 22, 'variant': 'independent'}",0.000115,0.027999999999999997,0.022,0.053,0.031166666666666665,0.01147896627169305,"[0.053, 0.033, 0.03, 0.026, 0.023, 0.022]",indexscan,ix_baseline_ab,['Index Scan'],106.0,115.0,109.54,117,0,0.031,rpc,0.0,0.0,0.0,0.000115,independent,btree_ab_composite,0.0435,indexscan,ix_baseline,0.6436781609195402,1.0849056603773586,under,-0.0155,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_dep_a6,conj,SELECT * FROM t_baseline WHERE a = 6 AND b = 3,,107,1000000,"{'a': 6, 'b': 3, 'variant': 'dependent'}",0.000107,0.0225,0.021,0.053,0.028499999999999998,0.012581732790041282,"[0.053, 0.031, 0.023, 0.022, 0.021, 0.021]",indexscan,ix_baseline_ab,['Index Scan'],86.0,107.0,89.14,110,0,0.033,rpc,0.0,0.0,0.0,0.000107,dependent,btree_ab_composite,0.0225,indexscan,ix_baseline,1.0,1.244186046511628,under,0.0,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_indep_a6,conj,SELECT * FROM t_baseline WHERE a = 6 AND b = 53,,100,1000000,"{'a': 6, 'b': 53, 'variant': 'independent'}",0.0001,0.02,0.019,0.032,0.023333333333333334,0.0056450568346710795,"[0.032, 0.02, 0.02, 0.02, 0.019, 0.029]",indexscan,ix_baseline_ab,['Index Scan'],88.0,100.0,91.18,103,0,0.024,rpc,0.0,0.0,0.0,0.0001,independent,btree_ab_composite,0.0245,indexscan,ix_baseline,0.8163265306122449,1.1363636363636365,under,-0.0045000000000000005,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_dep_a33,conj,SELECT * FROM t_baseline WHERE a = 33 AND b = 40,,95,1000000,"{'a': 33, 'b': 40, 'variant': 'dependent'}",9.5e-05,0.022,0.019,0.033,0.023000000000000003,0.005215361924162119,"[0.033, 0.023, 0.019, 0.019, 0.023, 0.021]",indexscan,ix_baseline_ab,['Index Scan'],104.0,95.0,107.5,97,0,0.024,rpc,0.0,0.0,0.0,9.5e-05,dependent,btree_ab_composite,0.019,indexscan,ix_baseline,1.1578947368421053,1.0947368421052632,over,0.002999999999999999,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_indep_a33,conj,SELECT * FROM t_baseline WHERE a = 33 AND b = 90,,96,1000000,"{'a': 33, 'b': 90, 'variant': 'independent'}",9.6e-05,0.0195,0.019,0.032,0.021500000000000002,0.005167204273105526,"[0.032, 0.02, 0.019, 0.019, 0.02, 0.019]",indexscan,ix_baseline_ab,['Index Scan'],104.0,96.0,107.5,99,0,0.025,rpc,0.0,0.0,0.0,9.6e-05,independent,btree_ab_composite,0.0225,indexscan,ix_baseline,0.8666666666666667,1.0833333333333333,over,-0.002999999999999999,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_dep_a57,conj,SELECT * FROM t_baseline WHERE a = 57 AND b = 84,,88,1000000,"{'a': 57, 'b': 84, 'variant': 'dependent'}",8.8e-05,0.018,0.018,0.03,0.02,0.004898979485566357,"[0.03, 0.018, 0.018, 0.018, 0.018, 0.018]",indexscan,ix_baseline_ab,['Index Scan'],97.0,88.0,100.36,91,0,0.023,rpc,0.0,0.0,0.0,8.8e-05,dependent,btree_ab_composite,0.0235,indexscan,ix_baseline,0.7659574468085106,1.1022727272727273,over,-0.005500000000000001,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_indep_a57,conj,SELECT * FROM t_baseline WHERE a = 57 AND b = 34,,101,1000000,"{'a': 57, 'b': 34, 'variant': 'independent'}",0.000101,0.0215,0.02,0.045,0.025333333333333333,0.009750213672872337,"[0.045, 0.024, 0.022, 0.021, 0.02, 0.02]",indexscan,ix_baseline_ab,['Index Scan'],104.0,101.0,107.5,104,0,0.033,rpc,0.0,0.0,0.0,0.000101,independent,btree_ab_composite,0.02,indexscan,ix_baseline,1.075,1.0297029702970297,accurate,0.0014999999999999979,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_dep_a75,conj,SELECT * FROM t_baseline WHERE a = 75 AND b = 42,,97,1000000,"{'a': 75, 'b': 42, 'variant': 'dependent'}",9.7e-05,0.0195,0.019,0.031,0.021333333333333333,0.004760952285695234,"[0.031, 0.02, 0.019, 0.019, 0.02, 0.019]",indexscan,ix_baseline_ab,['Index Scan'],112.0,97.0,115.66,100,0,0.024,rpc,0.0,0.0,0.0,9.7e-05,dependent,btree_ab_composite,0.019,indexscan,ix_baseline,1.0263157894736843,1.1546391752577319,over,0.0005000000000000004,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all_no_brin,1.0,False,conj_indep_a75,conj,SELECT * FROM t_baseline WHERE a = 75 AND b = 92,,85,1000000,"{'a': 75, 'b': 92, 'variant': 'independent'}",8.5e-05,0.0175,0.017,0.029,0.019333333333333334,0.004760952285695234,"[0.029, 0.018, 0.018, 0.017, 0.017, 0.017]",indexscan,ix_baseline_ab,['Index Scan'],96.0,85.0,99.34,88,0,0.026,rpc,0.0,0.0,0.0,8.5e-05,independent,btree_ab_composite,0.0175,indexscan,ix_baseline,1.0,1.1294117647058823,over,0.0,False,False
baseline,"{'name': 'baseline', 'n_rows': 1000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}",all,1.0,False,eq_v2386,eq,SELECT * FROM t_baseline WHERE k_skew = 2386,,98,1000000,{'k_skew': 2386},9.8e-05,0.0285,0.022,0.046,0.0305,0.008938679992034617,"[0.046, 0.034, 0.025, 0.022, 0.032, 0.024]",indexscan,ix_baseline_hash_skew,['Index Scan'],100.0,98.0,102.75,100,0,0.041,rpc,0.0,0.0,0.0,9.8e-05,,hash_skew,0.022,indexscan,ix_baseline,1.2954545454545456,1.0204081632653061,accurate,0.006500000000000002,False,True
